condition,stimLeft,stimRight,action,chosen,rewLeft,rewRight,RT
1,3,1,1,3,58,52,1.46509859664366
2,4,2,2,2,48,70,0.948690495453775
2,2,4,2,4,38,42,0.865273347822949
1,1,3,2,3,78,48,1.19852803344838
2,2,4,2,4,48,38,1.8146184317302
1,3,1,2,1,78,38,1.26508342614397
2,2,4,1,2,70,42,0.84851807798259
1,1,3,1,1,82,40,0.865542841376737
2,2,4,1,2,88,42,1.14831437147222
1,3,1,2,1,60,62,1.0650248597376
1,3,1,2,1,68,48,1.04915902740322
2,2,4,2,4,68,18,1.79795724712312
2,2,4,2,4,64,56,1.86532622552477
1,1,3,2,3,52,14,1.64892884576693
1,1,3,2,3,48,66,0.56564152194187
2,4,2,2,2,28,64,1.06535306549631
1,3,1,2,1,40,84,1.08237053570338
2,4,2,2,2,48,72,0.99907044833526
1,3,1,1,3,50,54,1.18204991496168
2,2,4,2,4,50,64,1.19843759457581
2,2,4,2,4,34,58,1.0652101135347
1,1,3,2,3,76,68,1.46483384398744
2,2,4,1,2,46,38,0.815357259241864
1,1,3,1,1,64,54,1.48189179273322
2,4,2,2,2,58,40,0.615629451349378
1,1,3,2,3,74,54,1.2815808726009
1,1,3,1,1,68,48,0.565529932035133
2,4,2,2,2,42,60,0.965526358224452
2,2,4,1,2,60,34,1.09859994705766
1,3,1,2,1,60,58,0.948639805894345
2,4,2,2,2,50,62,1.46564487693831
1,1,3,1,1,68,54,0.91548846848309
1,1,3,1,1,62,54,0.782150127226487
2,4,2,2,2,44,74,0.849038101732731
1,3,1,1,3,54,64,1.16534715797752
2,2,4,1,2,48,30,2.03151796618477
2,4,2,2,2,30,60,0.815772621892393
1,1,3,1,1,56,24,2.06444247695617
1,3,1,2,1,42,68,0.665763249853626
2,2,4,1,2,50,54,1.16529026883654
2,4,2,1,4,58,58,2.280999583425
1,3,1,2,1,60,56,1.44804101274349
1,3,1,1,3,42,44,1.59811930777505
2,4,2,1,4,32,70,1.6316965832375
1,3,1,2,1,50,60,1.63187709636986
2,2,4,1,2,60,62,1.31520044989884
1,3,1,2,1,50,44,1.83132045925595
2,2,4,1,2,60,66,2.54761682474054
2,4,2,2,2,46,60,1.41517266165465
1,3,1,2,1,56,88,0.932061037514359
2,4,2,2,2,58,32,1.19835080229677
1,1,3,1,1,38,76,1.09865793003701
2,2,4,1,2,78,44,2.08096508542076
1,3,1,2,1,62,40,1.36565734888427
1,1,3,2,3,70,52,0.915460753487423
2,4,2,1,4,50,70,2.16456821607426
2,4,2,2,2,64,54,0.898841506568715
1,3,1,1,3,38,50,1.61478742118925
1,3,1,2,1,50,50,1.73200174164958
2,4,2,1,4,38,76,1.11570347985253
1,1,3,1,1,74,74,1.84811256150715
2,2,4,1,2,64,66,1.76444962457754
2,4,2,2,2,42,68,1.04887093557045
1,3,1,2,1,58,66,0.598920129938051
1,3,1,2,1,42,66,0.932081094710156
2,4,2,2,2,36,68,1.36525547900237
2,2,4,1,2,78,58,1.09862839151174
1,3,1,2,1,52,78,1.31547687202692
2,2,4,1,2,64,24,1.21562281413935
1,3,1,2,1,22,62,0.96548369131051
2,2,4,1,2,52,52,0.682980560697615
1,3,1,2,1,40,68,1.29842767538503
1,1,3,1,1,60,48,1.31547504849732
2,2,4,1,2,64,46,2.04763724654913
2,4,2,2,2,46,78,1.1321414844133
1,3,1,2,1,64,88,1.71496166172437
1,1,3,1,1,74,26,0.848834249423817
2,4,2,2,2,44,64,0.765722333453596
1,3,1,2,1,46,54,1.3650151595939
2,4,2,2,2,52,90,0.915376878809184
1,1,3,1,1,58,54,1.06522360653616
2,4,2,2,2,54,52,0.732674928149208
1,1,3,1,1,84,12,0.898878338281065
2,4,2,2,2,16,62,0.748792384983972
1,1,3,1,1,58,70,0.665484274970368
2,4,2,2,2,40,62,1.248116645962
2,4,2,2,2,34,72,1.09876003838144
1,1,3,1,1,48,64,0.615598454140127
2,4,2,2,2,56,58,0.898925745859742
1,3,1,1,3,30,54,1.14827790437266
2,2,4,1,2,62,32,1.831388653256
1,1,3,1,1,32,26,1.63159556896426
2,2,4,1,2,44,48,1.04894642275758
1,1,3,1,1,36,72,1.01530715334229
1,3,1,1,3,52,72,2.71383737470023
2,4,2,2,2,2,40,0.598911742446944
2,2,4,1,2,60,42,0.865368527593091
1,1,3,2,3,78,82,1.03244423586875
2,2,4,1,2,76,58,1.04865978984162
1,1,3,2,3,72,44,1.58157044276595
1,3,1,2,1,48,66,2.13105366448872
2,4,2,2,2,58,94,0.782132622785866
1,3,1,2,1,44,48,1.09887746325694
2,2,4,1,2,56,52,0.798548746854067
1,1,3,1,1,74,32,1.01538883987814
2,4,2,2,2,62,64,0.599912770092487
2,2,4,1,2,62,54,0.715814996976405
1,1,3,1,1,64,18,0.832245270255953
1,1,3,1,1,70,50,0.932169345440343
2,2,4,1,2,58,34,1.09860213496722
2,4,2,2,2,60,98,0.549500726163387
1,3,1,1,3,54,70,1.48158510262147
2,4,2,2,2,66,66,0.765327027766034
1,1,3,1,1,64,46,1.2157548260875
2,4,2,2,2,30,78,0.682584890397266
1,1,3,1,1,66,40,0.748783268034458
1,3,1,2,1,44,70,0.732182619627565
2,2,4,1,2,56,48,0.666169495787472
1,1,3,1,1,58,52,0.749037445290014
2,4,2,2,2,42,68,0.582343549700454
1,1,3,1,1,68,74,0.632230464601889
2,2,4,1,2,80,36,2.04785641515628
2,4,2,2,2,56,78,1.13172065163963
1,3,1,1,3,32,82,1.36527152475901
1,1,3,1,1,70,72,1.26514359749854
2,2,4,1,2,52,48,1.43180795433
1,3,1,2,1,42,62,2.24761230289005
2,4,2,2,2,26,40,0.765766458818689
1,1,3,1,1,44,66,0.715930233709514
2,4,2,2,2,68,74,0.931904227938503
1,3,1,2,1,64,68,1.39836378465407
2,2,4,1,2,52,52,0.948824695078656
1,1,3,1,1,72,42,1.24896122887731
2,2,4,1,2,66,44,0.782753661042079
2,2,4,1,2,78,62,0.699177516391501
1,1,3,2,3,52,52,1.88134011533111
1,1,3,2,3,88,40,0.915651112794876
2,4,2,2,2,26,52,1.03218458872288
2,2,4,1,2,60,58,0.632366123143584
1,3,1,2,1,70,72,1.11539277853444
2,2,4,1,2,72,42,0.982202858896926
1,1,3,1,1,42,88,1.11563309794292
2,4,2,2,2,44,72,1.6985714295879
1,3,1,2,1,62,62,2.46441374043934
2,2,4,1,2,74,32,1.61492599686608
1,1,3,1,1,60,42,0.782494743354619
1,1,3,1,1,40,42,1.13231397466734
2,2,4,1,2,50,42,0.898701836820692
1,1,3,2,3,56,76,1.33183027245104
2,4,2,2,2,42,52,0.965215656673536
1,1,3,1,1,50,56,1.41508039925247
2,2,4,1,2,76,64,0.865626716054976
1,3,1,2,1,44,70,1.33269235957414
2,4,2,2,2,46,90,1.09872357128188
2,2,4,1,2,36,38,1.24810825823806
1,1,3,1,1,98,68,0.882394749671221
2,4,2,2,2,34,94,0.71588428481482
1,3,1,2,1,66,72,1.09872357128188
2,4,2,2,2,34,78,0.815333555452526
1,1,3,2,3,70,50,1.1487187941093
2,2,4,1,2,74,40,0.948669344419613
1,3,1,2,1,56,64,0.932220399845392
1,1,3,2,3,70,80,1.66450002230704
2,2,4,1,2,68,28,0.765568441478536
2,4,2,2,2,42,58,0.782049112720415
1,1,3,1,1,62,52,0.799217557301745
2,2,4,1,2,68,38,1.21550137805752
1,3,1,2,1,18,68,1.4649695022963
2,2,4,1,2,82,50,0.732465970562771
1,1,3,1,1,60,24,1.13197519350797
2,2,4,1,2,46,52,0.699198667425662
1,3,1,2,1,72,68,1.53159928857349
2,2,4,1,2,56,84,1.13238472142257
1,3,1,2,1,62,70,1.81459582201205
2,4,2,1,4,52,66,0.965473115909845
1,3,1,2,1,52,82,1.48236550297588
2,4,2,1,4,52,62,0.516041240189224
1,3,1,2,1,50,50,1.14936645328999
2,2,4,1,2,56,48,1.11548431147821
1,1,3,1,1,76,54,1.59840302355587
2,2,4,1,2,90,24,1.14858058304526
1,1,3,1,1,52,60,1.08258386934176
2,4,2,2,2,30,62,1.66424256307073
1,3,1,2,1,54,56,1.04925092519261
1,3,1,2,1,66,60,0.86547792959027
2,4,2,2,2,50,72,0.865369257051498
2,4,2,2,2,68,48,0.882371410727501
1,3,1,2,1,54,68,1.08161712088622
2,2,4,1,2,76,16,0.865687251789495
1,3,1,2,1,62,66,1.51542093115859
1,3,1,2,1,46,88,1.59808211121708
2,2,4,1,2,64,52,1.28178253653459
2,2,4,1,2,72,54,0.799109249608591
1,3,1,2,1,72,70,1.24872929672711
2,4,2,2,2,38,64,1.33176353713498
1,3,1,2,1,24,58,0.948813025606796
2,4,2,2,2,30,92,1.14907909114845
1,1,3,1,1,92,64,1.14872280531563
1,3,1,2,1,82,64,1.48174665286206
2,4,2,2,2,20,54,0.915561767993495
2,4,2,2,2,54,66,0.881950942799449
1,1,3,1,1,62,60,0.932577414670959
2,4,2,2,2,40,76,0.881704788189381
1,3,1,2,1,44,54,1.21514326892793
1,3,1,2,1,46,42,0.749041821574792
2,2,4,1,2,48,58,0.848623468540609
2,2,4,1,2,90,30,1.14851712994277
1,3,1,2,1,34,72,0.965806062333286
1,1,3,1,1,62,64,1.14876620145515
2,4,2,2,2,66,78,0.749265730613843
2,4,2,2,2,46,52,1.51517149503343
1,3,1,2,1,44,78,0.766053456580266
1,1,3,1,1,80,36,1.43178060394712
2,4,2,2,2,54,62,0.865621246164665
2,4,2,2,2,54,34,0.981788225471973
1,1,3,1,1,64,46,1.59834212320857
2,4,2,2,2,28,66,0.699037846643478
1,1,3,1,1,74,64,0.815857590874657
2,4,2,2,2,44,56,0.729197040898725
1,1,3,1,1,66,60,0.81562310596928
1,1,3,1,1,56,66,0.782465204596519
2,2,4,2,4,42,64,1.28187042288482
1,1,3,1,1,88,50,0.665486827492714
2,2,4,1,2,58,28,1.08199164015241
2,2,4,1,2,52,50,0.782384612131864
1,3,1,2,1,46,46,0.732306608231738
1,1,3,2,3,56,50,1.0985273772385
2,2,4,1,2,80,48,0.732528329826891
2,2,4,1,2,52,50,1.39833825756796
1,1,3,1,1,56,48,1.0821006775368
2,2,4,1,2,72,38,0.982167120790109
1,3,1,2,1,46,66,0.915487374644727
2,2,4,1,2,52,64,0.815119127742946
1,1,3,1,1,50,82,0.848963343771175
2,4,2,2,2,32,48,1.54858612595126
1,3,1,2,1,72,74,1.19896928779781
2,4,2,2,2,44,48,1.26524971728213
1,3,1,2,1,78,82,1.18179865507409
1,1,3,1,1,64,36,0.782406857004389
2,4,2,2,2,54,52,0.715543315280229
1,1,3,1,1,56,68,0.649148743599653
2,4,2,2,2,34,84,0.665781848365441
2,2,4,1,2,68,40,1.01553835603409
1,3,1,2,1,40,66,0.782162161311135
2,4,2,2,2,54,50,0.765154537511989
1,3,1,1,3,52,86,1.41508951643482
2,4,2,2,2,72,82,0.765874766744673
1,3,1,2,1,72,52,0.981928260065615
1,3,1,2,1,42,48,1.08217798825353
2,2,4,1,2,70,46,0.882237940328196
1,1,3,1,1,82,60,0.998666025698185
2,4,2,2,2,58,60,0.582397885853425
2,2,4,1,2,78,34,0.798911232035607
1,3,1,2,1,46,78,0.649205267895013
2,4,2,2,2,36,66,0.648815067717806
1,1,3,1,1,54,74,0.649146920302883
2,4,2,2,2,16,62,0.948694142047316
1,1,3,1,1,78,66,0.765235130209476
2,2,4,1,2,94,34,0.998508487129584
1,1,3,1,1,84,44,0.832601920701563
1,3,1,2,1,34,40,0.765734732383862
2,2,4,1,2,68,36,0.765553854638711
1,3,1,2,1,42,76,0.849189076572657
2,2,4,1,2,64,42,0.832375094061717
2,2,4,1,2,42,22,0.698618472320959
1,3,1,2,1,68,64,0.533057251479477
1,3,1,2,1,22,62,0.683110019657761
2,4,2,2,2,56,72,0.582741408143193
2,2,4,1,2,72,50,0.632264744024724
1,1,3,1,1,92,40,0.600014513824135
2,2,4,1,2,38,60,0.582714786985889
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,2,4,2,4,44,58,1.4314709964674
1,1,3,1,1,54,80,1.74782016640529
2,2,4,1,2,62,42,1.53161606332287
1,3,1,2,1,90,38,1.59797963802703
1,3,1,1,3,60,54,1.06523564062081
2,2,4,2,4,62,24,2.04771674517542
2,4,2,1,4,34,44,1.51535383122973
1,1,3,2,3,50,64,1.31539518525824
1,1,3,2,3,28,58,1.16492814850062
2,2,4,1,2,60,48,1.09862802689895
1,1,3,2,3,68,56,0.79925548331812
2,4,2,2,2,76,48,1.51506756292656
1,1,3,1,1,42,62,0.749116214923561
2,2,4,1,2,98,30,1.11549780424684
1,3,1,2,1,84,50,1.99765004660003
2,4,2,2,2,54,66,1.48160187760368
1,3,1,1,3,62,54,0.882121609523892
2,4,2,2,2,44,62,2.2811512874905
1,1,3,2,3,70,36,1.11557183298282
2,4,2,2,2,38,48,1.49816095363349
2,4,2,2,2,50,78,1.96476127416827
1,1,3,1,1,50,44,1.19819508702494
1,3,1,1,3,24,88,1.73153094877489
2,4,2,2,2,32,58,1.83137734839693
1,1,3,2,3,38,50,2.04809673456475
2,2,4,1,2,72,20,1.69805833464488
2,2,4,1,2,78,52,2.08098295447417
1,1,3,2,3,80,54,1.48189142812043
1,1,3,2,3,100,70,1.39839368802495
2,2,4,2,4,76,50,1.46507270494476
2,4,2,2,2,46,72,1.36503922799602
1,3,1,2,1,46,68,1.09865136584267
2,2,4,1,2,52,46,0.998975633410737
1,1,3,2,3,86,94,1.5817790357396
1,1,3,2,3,84,70,1.88075919100083
2,4,2,2,2,10,72,0.98192351940088
1,3,1,1,3,66,48,1.66513856477104
2,4,2,2,2,48,46,1.66516044526361
2,2,4,1,2,68,46,2.13117655948736
1,1,3,2,3,56,68,2.03162846225314
2,2,4,1,2,46,46,2.29783216421492
1,1,3,2,3,76,60,1.61533807753585
1,1,3,1,1,66,76,1.86467382544652
2,2,4,2,4,44,82,2.33116693212651
1,3,1,1,3,58,60,1.46470985515043
2,4,2,2,2,58,36,0.798774844268337
2,2,4,2,4,62,40,1.33206913340837
1,3,1,2,1,38,84,1.16544306697324
1,3,1,2,1,44,40,2.46441155252978
2,4,2,1,4,30,68,1.08241575513966
1,3,1,1,3,52,50,1.34845024859533
2,2,4,1,2,80,68,1.46498372475617
1,3,1,1,3,54,94,1.08206202206202
2,4,2,2,2,22,84,0.515904852421954
1,1,3,2,3,82,52,0.765720145544037
2,2,4,1,2,80,56,0.915315978229046
2,4,2,2,2,44,62,1.1156458617188
1,3,1,2,1,76,62,0.865420311223716
2,2,4,1,2,66,42,1.26490801852196
1,3,1,2,1,48,50,1.29867638275027
1,1,3,1,1,56,50,0.882088059792295
2,4,2,2,2,44,64,1.91444185678847
2,4,2,2,2,38,46,1.28218148904853
1,3,1,2,1,68,62,1.9983906976413
1,3,1,1,3,56,44,1.86453488492407
2,4,2,2,2,48,46,1.46511755976826
2,2,4,1,2,66,28,1.21550757740624
1,1,3,1,1,74,64,1.54824807401747
1,1,3,2,3,58,50,1.48205079021864
2,4,2,2,2,22,74,1.11531729111448
2,2,4,1,2,66,60,1.09900582814589
1,1,3,1,1,68,54,2.58064891397953
2,2,4,1,2,66,56,1.01564338197932
1,3,1,1,3,54,78,2.33089634450153
2,2,4,1,2,80,40,1.13195550115779
1,3,1,2,1,64,88,1.94796224334277
1,3,1,2,1,42,58,2.18076043110341
2,4,2,2,2,36,72,1.78150100889616
1,1,3,1,1,74,60,1.68141246633604
2,2,4,1,2,68,24,1.18185773235746
2,2,4,1,2,56,52,1.58124916581437
1,3,1,2,1,42,94,2.54709351900965
1,3,1,2,1,30,86,1.94750640192069
2,2,4,1,2,48,42,0.848775901831686
1,3,1,2,1,10,56,1.26520340354182
2,2,4,1,2,70,66,0.865682875970379
2,2,4,1,2,70,36,1.34837585547939
1,1,3,1,1,40,48,1.06522470060736
2,2,4,1,2,60,52,1.19879242149182
1,3,1,2,1,98,80,1.1153843908105
2,2,4,1,2,60,44,0.798876952612773
1,3,1,1,3,52,80,1.76463086693548
1,3,1,2,1,68,52,0.632575810188428
2,4,2,2,2,44,48,1.14869946637191
2,4,2,2,2,36,80,0.998845809837803
1,1,3,1,1,80,48,1.51571339904331
2,4,2,2,2,18,66,1.08215866051614
1,3,1,2,1,58,78,1.63147777947597
2,4,2,2,2,46,66,1.66530376160517
1,3,1,2,1,52,36,1.79775850032456
2,4,2,2,2,52,74,0.748994778608903
1,1,3,1,1,70,52,2.18088514916599
1,3,1,2,1,46,62,2.14781221677549
2,2,4,1,2,64,30,0.998732761014253
1,1,3,1,1,86,68,0.96523826639168
2,2,4,1,2,28,40,2.39792508305982
1,1,3,1,1,60,46,0.698897447204217
2,4,2,2,2,60,78,0.61569910380058
2,2,4,1,2,44,64,0.732169126626104
1,1,3,1,1,70,50,0.882097905967385
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,3,1,1,82,52,2.13199050957337
2,2,4,2,4,64,56,1.41493270685896
2,2,4,1,2,56,58,1.248327791458
1,1,3,1,1,68,50,1.21503532584757
1,3,1,2,1,36,44,0.815555276814848
2,4,2,1,4,28,64,1.94772921712138
1,1,3,1,1,66,58,1.03195375064388
2,2,4,1,2,72,28,3.16341220238246
1,3,1,2,1,50,100,0.932004877831787
2,2,4,2,4,70,50,1.34876751434058
2,4,2,1,4,66,62,1.39843854261562
1,1,3,1,1,50,42,0.98206173046492
1,1,3,1,1,56,60,2.06478381087072
2,2,4,2,4,76,50,1.13200910808519
2,4,2,1,4,60,52,1.99770912365057
1,3,1,2,1,48,82,1.54825062677264
2,2,4,1,2,42,70,1.31535069504753
1,1,3,1,1,68,56,1.04855111730285
1,3,1,2,1,42,84,1.08262070128694
2,2,4,1,2,62,44,2.06503215315752
2,2,4,1,2,52,64,1.33200786798261
1,3,1,2,1,64,84,0.981980408076197
1,3,1,2,1,46,56,1.34861398697831
2,4,2,2,2,64,60,1.48163251020014
2,4,2,1,4,32,38,2.49709829618223
1,3,1,2,1,78,52,1.36503886338323
1,1,3,1,1,64,56,1.33162058517337
2,2,4,1,2,46,16,2.21426914772019
1,1,3,1,1,78,50,1.44852383993566
2,4,2,2,2,52,74,1.53191837761551
2,4,2,2,2,46,50,1.33178979344666
1,1,3,1,1,56,64,1.8315775541123
1,1,3,2,3,52,36,1.38180069741793
2,4,2,1,4,38,66,3.29716991796158
2,4,2,2,2,38,30,3.89619908505119
1,1,3,1,1,94,32,1.34871718939394
1,1,3,1,1,38,62,1.79801887692884
2,4,2,2,2,56,36,2.56411317712627
2,4,2,1,4,36,48,1.71455176942982
1,1,3,1,1,70,52,1.2819014203269
1,1,3,1,1,78,60,0.682953210314736
2,2,4,1,2,94,50,2.21420934121124
2,2,4,1,2,80,62,2.01468903245404
1,3,1,2,1,54,54,1.76444889511913
1,1,3,1,1,86,90,1.98101183655672
2,4,2,2,2,74,76,3.19690049742348
1,3,1,2,1,48,50,1.21512941154651
2,4,2,1,4,58,60,2.48052900936455
1,3,1,2,1,58,68,1.43170621059835
2,2,4,1,2,90,46,2.3640950890258
2,4,2,2,2,66,72,0.81579267885536
1,3,1,2,1,58,40,1.33172305836342
2,4,2,2,2,38,60,1.76480007520877
1,1,3,1,1,64,38,0.898788993712515
2,4,2,2,2,34,64,1.51520613883622
1,3,1,2,1,70,30,0.932225505122915
1,3,1,1,3,54,90,0.848629303043708
2,4,2,2,2,56,62,1.93113586190157
1,3,1,2,1,64,66,0.965063223382458
2,2,4,1,2,70,52,1.41483351588249
1,3,1,2,1,32,78,0.766018083551899
2,4,2,2,2,32,70,1.1986345180776
2,2,4,1,2,72,48,0.948754313169047
1,3,1,2,1,26,76,0.798839391442016
1,3,1,2,1,64,64,0.832262409850955
2,4,2,2,2,56,96,0.899236812023446
1,1,3,1,1,82,40,0.649025119375437
2,2,4,1,2,56,62,0.915584742324427
2,4,2,2,2,58,58,0.88183388276957
1,1,3,1,1,82,30,1.13235700619407
1,3,1,2,1,66,72,0.982045684941113
2,4,2,2,2,60,100,0.748812806792557
1,3,1,2,1,66,48,0.765595062635839
2,4,2,2,2,36,60,0.932598930317909
2,4,2,2,2,38,78,1.2318226872012
1,1,3,1,1,74,38,0.748948465101421
2,2,4,1,2,56,44,1.4484301188495
1,3,1,2,1,52,78,1.21508346265182
1,1,3,1,1,54,24,1.14906669221818
2,4,2,2,2,38,80,0.811955953249708
2,2,4,1,2,52,22,0.898966954089701
1,3,1,2,1,52,80,0.732433879282326
