stimLeft,stimRight,action,chosen,conf,RT_choice,RT_conf
4,1,2,1,0.664,8.45963798160665,4.04699068120681
4,3,2,3,0.502,6.99466847931035,2.0829788101837
3,1,2,1,0.83,2.4643823786173,4.11380462697707
1,2,1,1,0.501,4.97944191889837,1.91512817167677
4,2,2,2,0.736,2.1651090264786,2.34816726227291
3,2,2,2,0.869,3.71362404082902,2.13183661759831
1,2,1,1,0.497,4.31306127738208,1.74899003794417
3,1,2,1,0.669,2.8814119559247,4.09697022312321
2,3,1,2,0.837,2.18172790855169,2.36494733043946
4,3,2,3,0.453,4.47936169058084,2.63121776748449
2,4,1,2,0.708,3.79742227168754,1.76489416090772
1,4,1,1,0.76,1.63216883502901,1.74839562061243
4,2,2,2,0.783,2.13160979119129,1.99869738752022
1,4,1,1,0.83,1.63217430515215,2.51491658831947
3,4,1,3,0.491,3.28111627907492,1.51544609363191
2,3,1,2,0.784,2.58124478952959,1.70007060072385
1,3,1,1,0.867,1.71533071110025,2.13203609385528
2,1,2,1,0.953,2.01394984009676,1.94880828494206
3,2,2,2,0.839,1.94965323223732,2.3316625226289
3,4,1,3,0.501,2.89745830162428,1.76546706235968
1,3,1,1,0.838,1.8483193309512,2.0152247371152
2,4,1,2,0.834,1.61399279837497,2.43149032397196
2,1,2,1,0.846,1.51553325052373,1.66523629729636
4,1,2,1,0.828,1.83201990253292,1.88178647495806
1,3,1,1,0.777,8.29488524096087,13.249362369068
3,4,1,3,0.638,11.273801665986,3.83016043435782
4,1,2,1,0.92,5.91181657533161,4.6626865027938
2,1,1,2,0.665,18.9725612669718,2.18153025582433
2,3,1,2,0.835,4.99584053852595,1.98321847338229
4,2,2,2,0.965,8.29296268429607,9.15857043769211
1,2,2,2,0.783,16.4087755663786,4.56293528294191
3,1,2,1,0.876,6.44488184945658,2.68132421560585
1,4,1,1,0.901,5.12884483952075,2.34827666450292
4,3,2,3,0.715,4.81407251604833,2.38145024655387
3,2,2,2,0.73,5.67900781193748,3.1806079975795
2,4,1,2,0.948,7.17742841271684,3.09744320390746
1,4,1,1,0.808,8.09312985069118,2.5314282567706
3,2,2,2,0.726,10.0248630470596,7.87657529651187
2,1,2,1,0.691,9.32558670430444,5.66205124254338
3,1,2,1,0.591,7.54346611560322,3.54711977532133
4,2,2,2,0.876,9.1758409908507,1.99868608289398
4,3,2,3,0.796,6.92722766031511,4.99556958652101
2,3,1,2,0.693,6.71093129483052,2.11510578077286
2,4,1,2,0.902,4.44585042144172,2.01499353442341
