stim,estimate,RT
1,60,2.70852902008482
4,40.4166666666667,2.34153229105868
2,69.5833333333333,1.94984260954789
3,37.0833333333333,2.80834230691198
3,43.1666666666667,2.32525839489426
1,69.75,1.97484347198133
2,69.6666666666667,2.43329971983076
4,39.8333333333333,2.9501910039553
3,36.4166666666667,2.60829150177142
4,49.1666666666667,2.32497756961493
2,71.25,2.8666219627039
1,54.5,2.64184969489816
1,49.5,1.90861432254587
3,43.5,1.78334001897019
4,44.9166666666667,2.21654565520475
2,64.5833333333333,1.82524371215095
4,41.25,5.23327723512193
2,80.75,3.2417096431418
3,56.3333333333333,2.89989277382301
1,65.8333333333333,2.22529585558368
1,63.75,4.61702407300436
4,46,3.91665666440167
3,55.5833333333333,2.95852562152504
2,74.9166666666667,2.08367319650461
2,74,1.78331930165405
4,46.3333333333333,5.07496595191151
3,56.8333333333333,1.98327744894596
1,61.5,1.80001134698614
2,74.75,1.89156043596267
1,61.75,4.71676466035024
3,53.6666666666667,2.44159651539121
4,48.25,2.21684006934811
4,39.9166666666667,1.89151424973534
2,53.4166666666667,3.65810130692626
3,50.3333333333333,3.71662096985892
1,58.25,2.60009168821853
4,24.6666666666667,2.57528284076034
3,48.5,2.89996433396846
1,54.5,1.60829345019556
2,57.4166666666667,3.09167082675413
1,57.6666666666667,3.00028937668321
4,21.75,2.61667026368013
2,63.0833333333333,2.32521291994271
3,45,3.06672056960815
4,21.5,2.85832117618702
3,48.5,3.12500645039108
1,51.1666666666667,4.4419711370283
2,58.8333333333333,3.50025274130894
1,70.4166666666667,12.4837468200531
4,26.0833333333333,3.44153077565352
2,53.9166666666667,4.69988615917464
3,59.0833333333333,2.51688667435155
1,75.5,1.8749341773073
3,55.5833333333333,1.65871272910226
2,54.0833333333333,1.79982289526015
4,27.5,2.60845769201114
3,54.6666666666667,1.56691505615527
4,25.75,2.16656825930841
2,55.6666666666667,2.14996511789286
1,75.6666666666667,4.62525384679611
2,55.1666666666667,2.24192301760195
4,26.25,3.00022836589415
3,55.8333333333333,2.72500811825375
1,71.25,1.82509339195894
1,69.9166666666667,7.46681527950568
2,56.75,5.86657801974434
3,39.1666666666667,4.6668051299639
4,43.6666666666667,3.17499717751707
4,42.75,2.07500624367822
3,38,2.00001625066579
1,75.6666666666667,3.15858685326384
2,62.25,1.87499757665501
4,44.0833333333333,3.2419453703842
1,72.9166666666667,2.14167446888678
2,61.25,2.98353180056074
3,37.6666666666667,2.00844521586259
1,73.5833333333333,1.95029576216621
2,61.75,1.83326700019461
3,36.1666666666667,1.77512638458575
4,47.4166666666667,3.50033898324182
1,80.5,2.90825072101143
4,20.5,3.27514605644683
2,59.9166666666667,3.40858143637888
3,10.25,2.50853787318192
1,80.25,2.12503292898327
4,24.5,4.35831868872629
3,13.9166666666667,2.85836088344513
2,60.25,2.45828538911155
2,60.75,2.41667597991182
1,80.3333333333333,3.08329779093765
4,20.5833333333333,3.2335737101821
3,10.0833333333333,2.72499478267855
4,20.1666666666667,2.45026383102959
3,10,2.14191338222736
1,75.6666666666667,5.533483789819
2,60.0833333333333,2.31659153346118
4,29.6666666666667,4.88562308544351
3,30.0833333333333,3.85728673216363
1,59.8333333333333,2.61739722084894
2,69.8333333333333,1.99303479948139
3,29.75,4.30363732547266
4,29.75,2.37950613661815
1,57.0833333333333,7.38848815334495
2,69.3333333333333,3.64900213356304
2,70,1.86306904174126
1,60,3.13795005771681
3,29.4166666666667,3.96491270085244
4,29.6666666666667,1.92419619225257
3,29.3333333333333,1.92400845215161
4,29.8333333333333,2.1099900399422
1,59.75,3.14704027089465
