condition,stimLeft,stimRight,action,chosen,rewLeft,rewRight,RT
1,1,3,2,3,58,52,1.26534881208136
2,2,4,2,4,82,40,0.991259633946356
1,3,1,1,3,70,70,2.35786662880491
2,2,4,2,4,70,60,0.957997091391007
1,3,1,1,3,46,98,0.816238201417946
2,4,2,2,2,36,62,1.29960436422516
2,4,2,1,4,66,66,1.10797118989194
1,3,1,1,3,44,86,1.72465523351366
2,2,4,1,2,64,42,1.13297433313983
1,1,3,1,1,62,72,1.63299813914
2,4,2,2,2,26,40,1.46628029670046
1,1,3,1,1,44,54,1.08298030602236
1,3,1,1,3,72,44,1.44968822692135
2,4,2,2,2,40,54,0.641311137587763
2,4,2,1,4,42,64,0.724660935549764
1,1,3,2,3,64,38,0.749634713311934
2,2,4,1,2,56,24,0.824540080894621
1,3,1,2,1,26,70,1.12467787059722
1,1,3,2,3,66,60,0.674659210683785
2,4,2,1,4,52,56,1.87465442097437
1,3,1,2,1,54,62,0.907940626979325
2,4,2,1,4,32,90,1.61630970495025
2,4,2,2,2,56,48,2.18298888758636
1,1,3,1,1,60,64,0.616353040425565
2,4,2,1,4,56,46,1.033033320703
1,3,1,2,1,26,78,0.807977946805295
1,1,3,2,3,84,82,0.791311465454783
2,4,2,1,4,24,52,1.49964718651518
2,4,2,1,4,52,92,0.924656716043501
1,3,1,2,1,34,62,1.74964469187489
1,3,1,1,3,68,58,0.916237944826207
2,4,2,2,2,24,74,1.86631262724404
2,4,2,1,4,76,90,0.699670336782219
1,3,1,1,3,90,50,0.958021039942651
2,2,4,2,4,56,38,2.1996781770813
1,1,3,1,1,82,66,0.633001560362572
2,2,4,1,2,54,36,1.08296148930367
1,1,3,2,3,64,64,0.933038138923621
1,1,3,2,3,78,68,1.21623403893136
2,2,4,1,2,90,64,1.46628799444898
2,4,2,2,2,42,78,0.724632425369236
1,1,3,1,1,76,42,0.75795398399805
2,2,4,1,2,70,62,0.707979628905377
1,1,3,2,3,64,68,0.5661791140692
2,4,2,1,4,44,46,0.707977918295001
1,3,1,1,3,54,62,0.816279541179938
1,1,3,1,1,58,52,1.18297434739452
2,2,4,2,4,54,24,0.716325984263676
1,3,1,2,1,42,54,0.991309241660929
2,4,2,1,4,58,46,0.907931503720647
1,1,3,2,3,62,58,0.749659802270799
2,4,2,2,2,34,84,1.04132208549709
2,4,2,2,2,42,54,0.599660044606935
1,3,1,1,3,64,66,0.782963399485197
2,4,2,2,2,60,64,0.849627044073713
1,3,1,2,1,72,52,1.39968479144409
2,4,2,1,4,44,54,0.599556837752971
1,1,3,1,1,70,38,0.682956528531577
1,1,3,2,3,68,58,1.49963521223981
2,4,2,2,2,22,58,1.60801666363022
1,1,3,2,3,70,64,0.991251651095808
2,2,4,1,2,54,24,0.582976457148106
2,2,4,2,4,72,68,0.54961869059025
1,1,3,1,1,60,62,0.683056029061845
1,1,3,2,3,68,30,0.607923150238094
2,4,2,1,4,40,60,0.741347944231165
2,2,4,1,2,58,40,0.8913437104693
1,3,1,2,1,42,54,0.874622204470143
1,1,3,2,3,72,68,0.599649780942855
2,4,2,1,4,28,78,0.816277260365496
1,1,3,2,3,58,66,0.732974789302716
2,2,4,1,2,44,48,0.791359647660101
2,4,2,1,4,30,64,1.27463343748059
1,3,1,2,1,34,84,1.34967223270905
2,2,4,2,4,68,50,1.19962115672115
1,1,3,1,1,60,50,1.35794503180114
2,2,4,2,4,74,42,0.691246718834009
1,1,3,1,1,72,50,0.791280104255748
2,2,4,2,4,92,20,0.88300334224823
1,1,3,1,1,60,32,0.799552618246707
1,1,3,1,1,74,56,1.58286270152712
2,4,2,2,2,56,50,1.1246644708126
1,3,1,2,1,74,68,1.27462773544539
2,4,2,2,2,48,90,1.19957297451583
1,3,1,2,1,62,50,1.15796749782385
2,4,2,1,4,50,48,0.77463671615169
1,1,3,1,1,70,44,1.59973017965058
2,4,2,2,2,24,32,0.533025765505045
1,3,1,2,1,66,60,0.982979707308914
2,2,4,2,4,98,8,0.824697742193166
1,1,3,1,1,60,32,1.05823118848366
2,2,4,1,2,82,52,1.45808932182626
2,4,2,2,2,42,52,1.33290967205085
1,3,1,2,1,62,82,1.08294609380664
2,4,2,2,2,44,50,1.35798437585072
1,3,1,2,1,56,32,0.94130438067441
2,2,4,2,4,50,32,1.18295496047267
1,3,1,2,1,44,50,0.949676965399703
2,2,4,1,2,82,44,0.749416040227516
1,3,1,2,1,72,54,0.907992800609463
1,1,3,1,1,70,36,0.957979415079535
2,4,2,2,2,46,48,0.907954882069134
1,1,3,1,1,82,48,0.624554278964752
2,2,4,2,4,74,22,1.2496491109523
2,4,2,2,2,36,62,0.824657542839304
1,1,3,1,1,68,48,0.899643309131534
1,1,3,1,1,72,72,1.64135618367345
2,4,2,2,2,14,66,1.36634783731733
1,1,3,1,1,68,66,0.732942002595337
2,2,4,1,2,76,38,0.991308956558896
1,3,1,2,1,40,50,0.807952857846431
2,4,2,2,2,30,42,1.14134235623533
2,2,4,1,2,94,48,0.941280717224799
1,3,1,2,1,66,50,0.924645882174445
2,2,4,1,2,80,52,0.77465410736113
1,3,1,2,1,74,84,0.616317402699678
1,1,3,1,1,42,68,0.799572005169466
2,2,4,1,2,62,40,0.849608227353201
1,3,1,2,1,60,48,0.766295207524308
2,4,2,2,2,40,44,0.824642717544521
1,1,3,1,1,42,58,0.674586224621635
2,4,2,2,2,48,56,0.757960541340253
2,2,4,1,2,74,62,1.00799311422088
1,1,3,1,1,40,50,1.22457070082874
2,4,2,2,2,22,76,0.949647885015111
1,3,1,2,1,52,66,1.14957524107467
1,1,3,1,1,66,60,0.691199391934788
2,2,4,1,2,68,54,0.991326062667213
2,4,2,2,2,32,58,0.841352249267402
1,3,1,2,1,44,68,0.932872209672496
2,4,2,1,4,62,52,1.09129701079382
1,3,1,2,1,44,70,0.94133517166938
1,1,3,1,1,40,56,0.783014717810147
2,4,2,2,2,44,56,0.799666658968818
2,2,4,2,4,78,56,0.991225421729723
1,3,1,2,1,74,50,0.774659239194079
2,2,4,1,2,58,30,0.899605675693238
1,3,1,1,3,50,72,1.15798317842382
1,1,3,1,1,72,68,0.824672938335425
2,2,4,1,2,76,46,1.58294024921906
1,3,1,2,1,30,74,0.71636447300807
2,4,2,2,2,26,62,0.841309769099098
1,1,3,1,1,66,80,0.707963663205192
2,4,2,2,2,52,60,0.899613373441753
2,2,4,1,2,48,44,1.42471102793752
1,1,3,1,1,86,58,0.774632724726871
2,2,4,2,4,62,50,1.32461520521974
1,3,1,2,1,52,76,0.816287809132518
2,4,2,2,2,50,68,1.1580065567714
1,1,3,1,1,44,58,0.632959935498548
2,2,4,1,2,94,50,1.23301427590286
1,1,3,2,3,50,58,1.15799258678271
2,4,2,2,2,26,64,0.833034689192573
1,1,3,2,3,82,82,1.17467503383432
2,2,4,2,4,56,34,1.04122429557719
1,1,3,2,3,60,58,0.899674955430783
1,3,1,2,1,48,38,0.791296640160908
2,4,2,1,4,52,50,0.757964532765072
1,1,3,2,3,64,58,0.616315121885236
2,2,4,1,2,72,52,0.674691427188009
1,1,3,2,3,54,44,1.20804505976957
2,4,2,2,2,62,72,2.04135971893538
1,3,1,2,1,50,80,1.10789307199775
2,2,4,2,4,76,52,1.29966024417809
2,2,4,1,2,70,52,0.832960277621169
1,3,1,2,1,44,70,0.666305442679004
1,1,3,1,1,88,66,1.357996350127
2,2,4,1,2,90,54,0.824651840802289
1,3,1,1,3,74,70,1.11623401042107
2,2,4,2,4,62,38,0.616319968616153
2,4,2,1,4,30,84,0.724624727620721
1,1,3,1,1,40,48,0.883017597338949
1,1,3,1,1,60,48,0.666282919636615
2,4,2,2,2,30,70,0.54965660912967
2,4,2,2,2,36,58,0.91637279798033
1,1,3,1,1,44,34,1.16633295500287
2,2,4,2,4,58,46,0.716330260791437
1,3,1,1,3,30,54,0.616324530245038
2,2,4,1,2,50,44,1.07465647370645
1,1,3,2,3,62,58,1.0163254995914
1,1,3,1,1,68,66,1.14137571314677
2,2,4,2,4,64,36,0.707948552808375
1,1,3,1,1,64,40,1.24126626256293
2,2,4,2,4,40,44,0.557881226017344
2,4,2,2,2,54,58,0.724653237801249
1,3,1,1,3,56,82,0.832881874624036
2,2,4,2,4,82,24,0.749695439996685
1,3,1,1,3,56,66,0.932963442251094
1,1,3,2,3,74,52,0.691294330836172
2,4,2,1,4,34,68,0.807998474135275
2,4,2,2,2,56,74,0.499609267975757
1,3,1,1,3,54,56,0.941275870493882
1,3,1,2,1,80,48,0.566355021883282
2,4,2,1,4,48,56,1.03299682767192
2,4,2,2,2,34,76,0.482975573332624
1,1,3,1,1,74,28,1.19127366095563
1,1,3,1,1,56,52,0.699643822314101
2,4,2,2,2,32,80,1.2163058845872
1,3,1,1,3,50,36,0.824580280249393
2,4,2,2,2,36,48,0.699657792302787
2,2,4,1,2,72,14,0.924667549911646
1,1,3,2,3,80,58,0.699571691557139
2,4,2,2,2,26,70,0.891271579711429
1,1,3,1,1,92,28,0.59957223325091
2,2,4,1,2,74,50,0.891302370706399
1,3,1,2,1,50,62,0.583000975902905
1,1,3,1,1,80,66,0.83300760452039
2,4,2,2,2,42,68,0.949593145468498
2,2,4,1,2,62,30,1.49965089283887
1,3,1,2,1,58,64,0.657987882603265
2,2,4,1,2,56,40,1.04966587493891
1,3,1,2,1,44,86,0.666306868188258
1,1,3,1,1,52,42,0.899657564221343
