stimLeft,stimRight,action,chosen,conf,RT_choice,RT_conf
3,2,2,2,0.501,1.5996888398895,2.09140677498817
2,4,1,2,0.838,1.69968829819663,3.3163803246689
4,1,2,1,0.834,1.74130460875585,2.43303429004936
4,3,2,3,0.659,4.08307553002578,2.5497321611083
1,2,2,2,0.161,1.99152648923609,2.4078119035139
1,3,1,1,0.679,1.59960872628199,1.76641552048568
3,2,2,2,0.66,2.03302391234411,1.64966405028736
4,2,2,2,0.83,1.69967204739351,2.30802598646005
3,1,2,1,0.67,1.39132931282802,1.81631232788732
2,1,2,1,0.506,3.6664645294868,1.69123132333698
4,3,2,3,0.824,3.49135328988905,2.34972269572791
1,4,1,1,0.813,1.64890624968848,1.97461139911138
4,2,2,2,0.825,1.90799023469299,2.44140373865412
2,3,1,2,0.829,1.28308756132174,2.1496847201679
1,2,1,1,0.494,1.83301986389779,1.89960881181196
4,3,2,3,0.833,1.99131494369703,3.17463112815676
4,1,2,1,0.667,1.6579958654529,1.91633830066257
1,3,1,1,0.669,1.50803573694157,3.583151509657
4,2,2,2,0.829,2.40794989278766,1.76650817857353
4,1,2,1,0.663,1.67465151293527,2.61630029659136
1,2,2,2,0.498,2.00806125355302,2.18305018447518
3,1,2,1,0.818,1.64076830374961,1.85798451840128
3,4,1,3,0.836,1.64967602456272,1.96638307590001
2,3,1,2,0.822,2.14904694742927,1.73292404118092
2,1,1,2,0.854,2.67466990388493,2.71644534814914
1,3,1,1,0.99,3.09116163783256,3.54123161567259
4,1,2,1,0.837,9.11644432178946,1.70801351032605
3,4,1,3,0.662,14.2581935653452,3.84991585268108
2,4,1,2,0.943,2.11641923297248,1.90781399722255
2,3,1,2,0.721,2.98251509106558,2.02471390909704
3,1,2,1,0.771,2.48308201277359,1.82469018876145
2,1,1,2,0.686,6.58306436507337,2.04969039546086
4,2,2,2,0.965,3.14068981128912,2.1246189992471
3,2,2,2,0.897,2.81639576922862,1.60800122251021
4,3,2,3,0.643,7.4242487396441,2.54138385916667
1,4,1,1,0.826,3.55727676869719,2.22471624691752
1,2,2,2,0.72,8.29084523365236,1.5913416785952
4,1,2,1,0.789,6.24136666762752,1.98305678140787
1,3,1,1,0.907,2.16650078587918,3.0248670078945
2,3,1,2,0.927,2.82484813426163,2.9412610950294
3,4,1,3,0.759,2.50812521257649,2.15799311140836
4,2,2,2,0.906,2.17474018107714,1.61637176379372
3,2,2,2,0.953,3.44964802957293,2.06635421587634
3,1,2,1,0.906,6.41644269671815,1.63296716016521
2,4,1,2,0.897,2.76649097843256,1.83302537762211
1,2,2,2,0.668,8.92469078747126,2.44968452239664
4,1,2,1,0.714,3.98302741608859,5.09137232686408
3,4,1,3,0.696,8.27473678838578,1.49974241198834
2,1,1,2,0.649,20.2498047776517,6.14962570622811
